TimeMin,DayOfWeek,PickupCount
57,5,111
68,5,95
182,5,95
298,5,75
363,5,35
395,5,30
483,5,15
501,5,13
509,5,14
514,5,15
517,5,9
545,5,7
655,5,23
683,5,12
696,5,17
720,5,17
723,5,7
743,5,12
787,5,21
808,5,22
819,5,17
860,5,23
870,5,17
942,5,24
945,5,31
1131,5,40
1283,5,24
1336,5,24
1380,5,37
1382,5,28
1396,5,32
1421,5,36
1432,5,27
1435,5,20
13,6,19
61,6,25
355,6,4
356,6,9
387,6,8
493,6,9
497,6,21
502,6,20
570,6,29
589,6,26
598,6,28
607,6,18
695,6,24
898,6,38
913,6,44
948,6,38
965,6,38
995,6,39
1001,6,37
1051,6,52
1057,6,55
1065,6,47
1082,6,54
1087,6,48
1128,6,55
1165,6,47
1196,6,46
1219,6,42
1220,6,56
1382,6,57
1405,6,58
1413,6,60
1429,6,57
1433,6,40
48,7,50
107,7,34
176,7,25
239,7,31
253,7,24
297,7,12
346,7,13
365,7,8
400,7,10
432,7,8
449,7,15
556,7,21
590,7,29
602,7,20
611,7,17
697,7,46
765,7,43
881,7,36
953,7,54
992,7,48
1031,7,55
1048,7,49
1050,7,60
1063,7,54
1140,7,66
1225,7,47
1236,7,53
1250,7,64
1310,7,47
1326,7,46
1372,7,45
4,1,58
37,1,59
48,1,43
124,1,46
149,1,34
152,1,30
226,1,35
245,1,25
256,1,21
337,1,13
437,1,7
491,1,7
519,1,14
547,1,13
559,1,22
573,1,19
629,1,23
693,1,21
749,1,25
789,1,32
797,1,42
804,1,31
809,1,30
852,1,22
902,1,33
908,1,30
935,1,48
957,1,25
1057,1,49
1062,1,37
1075,1,58
1080,1,33
1099,1,28
1112,1,44
1120,1,36
1130,1,38
1196,1,47
1218,1,53
1220,1,56
1251,1,46
1252,1,36
1318,1,28
1331,1,27
1344,1,21
171,2,6
187,2,6
215,2,5
279,2,3
392,2,7
403,2,16
520,2,39
524,2,47
592,2,34
639,2,33
726,2,27
799,2,26
854,2,36
1005,2,51
1132,2,52
1138,2,55
1219,2,45
1236,2,32
1257,2,57
1260,2,25
1267,2,32
1313,2,27
1357,2,26
1371,2,27
1408,2,24
1434,2,24
144,3,8
247,3,10
284,3,1
293,3,4
301,3,5
312,3,4
383,3,12
394,3,10
454,3,27
507,3,41
529,3,38
590,3,32
632,3,33
645,3,22
755,3,24
790,3,21
851,3,13
861,3,39
863,3,38
912,3,24
916,3,36
922,3,28
932,3,39
975,3,40
990,3,42
1015,3,39
1077,3,49
1145,3,50
1170,3,58
1190,3,52
1201,3,50
1231,3,41
1234,3,53
1239,3,36
1258,3,32
1281,3,36
1424,3,19
39,4,18
45,4,12
57,4,10
105,4,6
117,4,14
124,4,7
139,4,10
154,4,8
211,4,8
294,4,5
307,4,10
375,4,11
425,4,17
428,4,16
485,4,39
491,4,41
496,4,35
