ViolentCrimesPerPop	Population	PercentageBlack	PercentageWhite	PercentageAsian	PercentageHispanic	PercentageUrban	MedIncome
0.15	0.03	0.13	0.73	0.61	0.07	1	0.1
0.07	0.07	0.06	0.88	0.12	0.03	0.98	0.43
0.12	0	0.05	0.52	0.02	0.03	0	0.05
0.22	0	0.02	0.97	0.05	0	0.73	0.26
0.11	0.01	0.01	0.99	0.02	0.01	1	0.53
0.63	0.02	0.2	0.79	0.09	0.31	0	0.27
0.02	0	0.02	0.98	0.01	0.02	1	0.14
0.75	0.06	0.62	0.43	0.15	0.46	1	0.22
0.28	0.01	0.72	0.43	0.01	0	0	0.18
0.46	0.16	0.19	0.42	0.96	0.44	1	0.4
0.01	0	0.02	0.95	0.05	0.05	0	0.3
0.5	0.01	0.28	0.76	0.02	0.06	0	0.14
0.02	0.04	0	0.9	0.37	0.01	1	0.23
1	0.56	0.53	0.48	0.04	1	1	0.09
0.68	0.01	0.05	0.33	1	0.74	1	0.41
0.05	0.09	0.01	0.97	0.05	0.05	1	0.45
0.1	0.04	0.03	0.9	0.2	0.05	1	0.41
0	0.01	0	1	0.01	0.01	0.81	0.4
0.03	0	0.01	0.86	0.52	0.06	1	0.67
0.08	0.04	0.06	0.91	0.19	0.02	0.91	0.66
0.06	0	0.01	0.91	0.03	0.21	0	0.47
0.31	0	0.3	0.74	0.11	0.02	1	0.34
0.18	0.12	0.07	0.68	0.82	0.29	1	0.52
0.1	0.02	0.25	0.74	0.16	0.07	1	0.3
0.14	0	0	0.83	0.07	0.32	0	0.26
0.06	0.02	0.02	0.94	0.13	0.05	1	0.69
0.15	0.01	0.02	0.98	0.02	0.01	1	0.27
0.11	0.01	0.07	0.81	0.02	0.26	0	0.15
0.33	0.4	0.09	0.64	0.06	0.94	1	0.23
0.09	0.01	0	0.99	0.03	0.01	0.39	0.42
0.23	0.21	0.06	0.8	0.25	0.2	1	0.33
0.16	0	0.06	0.94	0.04	0.01	0	0.26
0.08	0	0.12	0.83	0.29	0.05	1	0.69
0.11	0.04	0.07	0.81	0.28	0.03	0	0.11
0.11	0.04	0.02	0.95	0.08	0.09	1	0.37
0.16	0.02	0.05	0.77	0.14	0.37	1	0.44
0.03	0.01	0.01	0.99	0.03	0.01	1	0.52
0.66	0.05	0.15	0.87	0.02	0.01	1	0.16
0.1	0	0.02	0.98	0.04	0.01	0	0.45
