Amplitude,AndersonDarling,Autocor_length,Beyond1Std,CAR_mean,CAR_sigma,CAR_tau,Color,Con,Eta_color,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Psi_CS,Psi_eta,Q31,Q31_color,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonJ,StetsonK,StetsonK_AC,StetsonL,Class
0.649,1,1,0.216476775,-0.000152873,-0.000518118,25506.50807,-0.285810415,0,5862.697227,1019.373653,0.097736626,0.180041152,0.282921811,0.420781893,0.650205761,0.065692856,0.024723176,0.016202806,0.013861299,-1.905489851,-0.419395265,-1.210647873,0.057338669,0.02554084,0.023649727,0.015615788,1.316258209,1.497133729,0.249287109,0.058565299,0.005790419,0.020622314,0.021979346,-1.317499298,-0.124145997,-1.733857226,-2.3e-05,53.7351175,-3.899250657,-0.0790713,0.134,0.807186678,-0.033333333,-0.473024802,-0.248529788,0.063181685,0.607909835,0.073228515,1.979535879,0.276,0.4,0.041251501,-0.358962327,0.115613,4.631268137,0.30831882,0.166368709,0.783125002,0.637551183,0.124980518,3
0.64775,1,1,0.224846894,-214.8921384,-1.390233118,0.017936281,-0.114695081,0.000876424,8079.566063,2024.477104,0.102019129,0.191285866,0.303931987,0.446333688,0.689691817,0.06047433,0.01307804,0.004630503,0.013911147,-1.51065691,-1.029087766,-0.955624248,0.060528279,0.012774969,0.020848174,0.018195991,-2.219296799,-1.969684094,0.251743871,0.058994739,0.009194873,0.014829923,0.004154594,-1.14728965,1.59209547,0.815797837,2.11e-05,117.1636287,-3.854365704,-0.078156127,0.143,0.779527559,-0.033333333,-0.444328824,-0.244797086,0.057917323,0.575761239,0.051148018,2.007240258,0.286,0.383,0.05008426,-0.509299046,0.115567,3.787424519,0.301242297,0.18023237,0.708075713,0.576927517,0.102146279,3
0.1305,1,1,0.208371247,-0.130732852,0.004146836,44.69271576,0.438576571,0,2545.841145,415.6126079,0.10106383,0.186170213,0.292553191,0.430851064,0.670212766,0.014500712,0.003629205,0.005430205,0.003202568,-1.569195067,-1.543866284,-0.636466332,0.012507335,0.007871939,0.001444478,0.002667327,-1.727980578,0.043535587,0.708451365,0.012291013,0.00658186,0.00322023,0.001387421,2.615642764,1.840985865,2.017322113,-7.33e-06,8.821533594,-5.842806187,-0.010486295,0.027,0.775250227,0.033333333,-0.051009928,-0.03218076,0.99690707,0.029450783,0.051189029,1.884079091,0.055,0.062,0.065301863,0.0240833,0.128322,4.055260429,0.061269388,0.112369828,0.740185734,0.62337773,0.085022342,3
0.954,1,1,0.253895509,-422.0154243,-4.480519523,0.007835058,0.08442475,0.000918274,3143.764241,3131.009582,0.115832762,0.2145305,0.319396847,0.475668266,0.721041809,0.100824399,0.014741733,0.022848789,0.027564523,2.319835072,1.004544918,-0.372601131,0.102658182,0.026888825,0.029013862,0.010980368,0.409615485,-0.816414487,0.313166596,0.096700918,0.03424219,0.010718353,0.045588293,-1.390299468,-0.248640853,-1.659156912,3.6e-05,201.7325801,-3.306515124,-0.140220275,0.232,0.716773602,-0.166666667,-0.738984088,-0.446450428,0.204386592,0.303624647,0.062240021,2.013490765,0.4655,0.524,0.050543125,-0.63019105,0.125683,2.747716715,0.463640459,0.31236563,0.555242052,0.664432038,0.08061822,3
0.60775,1,1,0.446776612,-78.95114894,1.846285237,0.058321358,0.052378033,0,541.1738597,738.3533683,0.172641509,0.308490566,0.436792453,0.588679245,0.798113208,0.354530748,0.140893777,0.097774362,0.053652092,0.965220153,2.188035953,0.49662808,0.049905998,0.020379032,0.004370798,0.012216917,-0.329290484,0.21425404,-1.304496325,0.046703244,0.021809925,0.037979868,0.024509221,-0.162139622,0.121712965,-0.13600624,3.19e-06,39.49134582,-4.604538231,-0.071592799,0.193,0.547226387,0.033333333,-0.327252503,-0.235817575,0.519446208,1.39e-77,0.199741234,0.567967874,0.462,0.195,0.043708882,-0.718161389,0.594144,-0.061166249,0.329651781,3.310623916,0.78882387,0.797075115,2.07598677,4
1.1045,1,16,0.312661499,-0.083877577,0.101214458,80.06362174,1.48296537,0.000862813,467.6286567,4.184632925,0.209371884,0.370887338,0.519441675,0.674975075,0.8444666,0.804653362,0.145413387,0.008776138,0.059085518,0.688351954,-0.406130383,-1.928720198,0.176832072,0.025934335,0.059632625,0.022656125,-0.404353267,-1.458171756,0.100401342,0.15762239,0.023004104,0.030821338,0.023016372,-0.499540778,-1.600361437,-1.939911478,-0.000102416,7.669749615,-6.715542636,-0.094579048,0.466,0.254091301,0.1,-0.230476748,-0.293360632,158.6124919,5.03e-199,0.225030264,0.333459968,1.042,0.19,0.149689929,0.360270734,0.424216,-0.969726785,0.635149629,30.25302845,0.757149791,0.841180393,19.57535183,1
0.04,1,4,0.307692308,-3.168630073,0.017883235,2.488855393,0.790222846,0,4143.644338,927.1560471,0.15625,0.265625,0.40625,0.546875,0.78125,0.01471886,0.002296654,0.001744246,0.000488951,-0.12876767,0.655272555,0.498064828,0.08302756,0.024662647,0.014296416,0.01120086,-0.231251273,-0.496977629,-0.799579478,0.247625878,0.073650057,0.042447982,0.032641218,-0.232586269,-0.505764846,-0.819402684,9.84e-06,5.130492971,-7.886262046,-0.002611265,0.013,0.7227388,-0.166666667,-0.014073792,-0.008114619,363.0463704,7.55e-58,0.145898125,1.459940777,0.026,0.017,0.203414421,0.391117272,0.107118,2.101629256,0.020593123,1.572841323,0.724739096,0.765203209,0.781705819,3
1.2125,1,1,0.229206963,-0.446544026,-0.151048083,6.865945186,-0.390126524,0,781.4340134,1733.983582,0.098702764,0.187817259,0.285956007,0.438804287,0.69430344,0.119676815,0.025485257,0.017446464,0.007809523,0.932699099,-1.274574932,1.520660485,0.11607978,0.014202822,0.017228023,0.01434301,-1.659977367,-0.044157327,-2.766461056,0.109186406,0.03182683,0.024956687,0.042268698,1.068075339,1.372525651,1.273025594,6.51e-05,173.5328206,-3.065946809,-0.181903996,0.2495,0.749516441,-0.033333333,-0.995478766,-0.572581947,1.072616972,0.473027784,0.056466985,1.992485813,0.50575,0.725,0.072596862,-0.426485814,0.11765,3.750234538,0.557707977,0.245678965,0.672948461,0.691056221,0.155972599,3
1.12325,1,1,0.282250242,-0.305222303,-0.121280194,11.64728658,-0.028552702,0.000971817,3504.22384,413.5816468,0.129350348,0.228538283,0.360208817,0.520301624,0.711716937,0.135012415,0.039426038,0.037542655,0.048128396,-1.399879844,-0.83397927,0.222795208,0.116260973,0.015181234,0.006224757,0.036485959,-2.205616372,0.291467218,-1.309068301,0.106981121,0.049591872,0.010839049,0.021251784,0.205375258,-1.85225783,0.357004074,5.33e-05,67.89984218,-3.555011639,-0.149038238,0.304,0.610087294,-0.033333333,-0.612337295,-0.487832484,368.8215783,0.005290581,0.07518455,1.777657349,0.6175,0.594,0.051392036,-0.225990567,0.127303,1.310993544,0.529832669,0.24311067,0.675332763,0.648222927,0.072269501,3
1.0905,1,1,0.260437376,-0.061117662,-0.048924936,53.18857626,0.313413569,0,6116.85799,1355.873075,0.122423485,0.209244222,0.319175515,0.457214241,0.702061212,0.115198066,0.075850786,0.036941227,0.013585755,-0.429905803,-0.834611231,1.12697894,0.106517844,0.023837584,0.006495886,0.027282689,-0.619105463,1.29091843,1.388606834,0.097032701,0.01067276,0.052699932,0.043643391,-0.846066126,-0.687232127,-0.077253737,-1.74e-05,162.4066954,-3.250761431,-0.152459692,0.2475,0.694831014,-0.033333333,-0.758893281,-0.486774095,0.168016515,0.111728375,0.07363646,1.773917011,0.50875,0.595,0.02604103,-0.36391905,0.13647,2.409745689,0.495610087,0.064374703,0.700235048,0.592344962,0.016136565,3
