district,urban,living.children,age_mean,contraceptive_use
101,1,4,18.44,0
101,1,1,-5.5599,0
101,1,4,8.44,0
101,1,2,-5.5599,0
101,1,4,1.44,0
101,1,4,-0.5599,0
101,1,4,4.44,1
101,1,1,-5.5599,0
101,1,3,2.44,1
101,1,2,-4.5599,1
101,1,4,14.44,0
101,1,2,-1.5599,1
101,1,3,-6.5599,0
101,1,3,-2.5599,1
101,1,1,9.44,0
101,1,4,-5.5599,1
101,1,2,-10.559,0
101,1,2,-7.5599,1
101,1,3,-4.5599,1
101,1,4,-1.5599,1
101,1,2,-11.559,0
101,1,1,-12.559,0
101,1,3,-5.5599,1
101,1,4,7.44,0
101,1,2,-6.5599,0
101,1,4,15.44,0
101,1,3,-4.5599,0
101,1,3,-3.56,0
101,0,4,11.44,0
101,0,4,-3.5599,0
101,0,1,-12.559,0
101,0,3,-7.5599,0
101,0,1,-13.559,0
101,0,4,3.44,0
101,0,3,1.44,0
101,0,1,-4.5599,0
101,0,4,-1.5599,0
101,0,4,2.44,0
101,0,4,8.44,0
101,0,4,8.44,0
101,0,1,-9.5599,0
101,0,4,5.44,0
101,0,4,2.44,1
101,0,4,11.44,0
101,0,4,-3.5599,1
101,0,1,5.44,0
101,0,3,-7.5599,0
101,0,4,0.44,1
101,0,4,10.44,1
101,0,2,-11.559,0
101,0,3,10.44,0
101,0,4,16.44,0
101,0,2,4.44,0
101,0,4,12.44,0
101,0,4,8.44,0
101,0,4,18.44,0
101,0,2,-11.559,0
101,0,1,-5.5599,0
101,0,3,3.44,0
101,0,1,-1.5599,0
101,0,4,3.44,0
101,0,4,-1.5599,0
101,0,3,11.44,0
101,1,1,-11.56,1
101,0,4,7.44,0
101,1,1,-4.5599,1
101,1,4,5.44,0
101,0,3,-3.5599,0
101,0,1,-7.5599,0
101,1,1,-11.56,0
101,1,3,11.44,1
101,0,4,2.44,0
101,1,1,-6.5599,1
101,0,1,-2.56,0
101,1,4,1.44,1
101,1,2,-6.5599,1
101,1,4,-0.5599,1
101,0,4,-1.5599,0
101,1,4,8.44,1
101,0,3,-7.5599,0
101,1,1,-3.5599,0
101,1,3,-7.5599,1
101,0,1,-4.5599,0
101,0,4,8.44,1
101,1,3,-3.56,0
101,1,4,5.44,0
101,0,3,19.44,0
101,1,4,14.44,0
101,1,1,-11.56,0
101,1,3,1.44,0
101,0,4,4.44,0
101,1,4,18.44,0
101,1,4,8.44,0
101,0,1,-13.559,0
101,1,4,2.44,0
101,1,2,8.44,1
101,1,1,-9.5599,0
101,0,4,10.44,0
101,1,1,-13.559,0
101,1,3,-7.5599,0
101,1,2,-3.5599,1
101,0,4,5.44,1
101,1,3,-3.56,0
101,1,2,-5.5599,1
101,1,4,14.44,0
101,0,2,6.44,0
101,0,4,0.44,0
101,1,2,-4.5599,0
101,0,4,-4.5599,0
101,0,4,0.44,0
101,1,4,6.44,0
101,1,4,-3.5599,0
101,1,4,2.44,0
101,1,1,-4.5599,0
101,1,1,-2.5599,0
101,1,3,-2.5599,1
101,0,4,7.44,1
102,0,3,-5.5599,0
102,0,4,19.44,0
102,0,2,-2.56,1
102,0,3,6.44,1
102,0,1,-11.559,0
102,0,3,-2.5599,1
102,0,3,-2.5599,1
102,0,3,1.44,0
102,0,2,-11.559,0
102,0,4,10.44,0
102,0,4,1.44,0
102,0,3,-5.5599,1
102,0,4,-1.5599,0
102,0,4,1.44,1
102,0,3,-5.5599,0
102,0,4,7.44,1
102,0,1,-13.559,0
102,0,1,-13.559,0
102,0,1,-7.56,0
102,0,3,0.44,0
103,1,1,-8.5599,1
103,1,4,-3.5599,1
104,1,4,2.44,1
104,1,3,-1.5599,1
104,1,3,7.44,1
104,1,4,7.44,1
104,1,4,-0.5599,1
104,1,2,-3.5599,1
104,0,4,14.44,0
104,0,4,16.44,0
104,0,4,6.44,0
104,0,4,2.44,0
104,0,4,13.44,0
104,0,4,16.44,0
104,0,4,-0.5599,1
104,0,4,8.44,1
104,0,4,2.44,1
104,0,3,-1.5599,0
104,0,2,-11.559,0
104,0,1,-7.5599,0
104,0,3,-9.5599,0
104,1,2,-10.559,1
104,0,1,-10.559,0
104,1,4,2.44,1
104,1,4,4.44,1
104,1,1,-3.5599,0
104,0,1,-4.5599,0
104,0,2,-4.5599,1
104,0,3,-2.5599,0
104,0,4,-1.5599,0
104,1,2,-6.5599,1
104,0,2,1.44,1
105,1,1,-13.56,0
105,1,4,2.44,1
105,0,4,3.44,0
105,0,3,-4.5599,1
105,0,1,-11.559,0
105,0,1,-11.559,1
105,0,1,-11.559,1
105,0,1,-10.559,0
105,0,1,-10.559,0
105,0,4,16.44,0
105,0,4,-2.5599,0
105,0,4,16.44,0
105,0,4,7.44,1
105,0,4,0.44,0
105,0,4,2.44,0
105,0,1,-9.5599,0
105,0,3,-8.56,1
105,0,4,1.44,1
105,0,4,-4.5599,0
105,0,3,-5.5599,1
105,0,1,-8.5599,1
105,0,1,-12.56,0
105,0,4,-1.5599,0
105,0,4,-1.5599,0
105,0,4,18.44,0
105,0,3,17.44,0
105,0,4,-0.5599,1
105,0,3,-4.5599,1
105,0,4,13.44,0
105,0,4,11.44,0
105,0,4,14.44,1
105,0,4,6.44,1
105,0,3,-7.5599,0
105,0,1,-13.559,0
105,0,1,-10.559,0
105,0,4,13.44,0
105,0,2,-6.5599,1
105,0,1,-3.56,0
105,0,2,-4.5599,0
106,1,4,-0.5599,1
106,1,1,-4.5599,1
106,1,4,7.44,0
106,0,3,-5.56,0
106,0,4,12.44,0
106,0,4,-5.5599,0
106,0,4,8.44,0
106,0,2,-0.5599,1
106,0,2,-7.56,0
106,0,4,4.44,1
106,0,3,-5.56,1
106,0,3,-0.5599,1
106,0,1,-6.56,0
106,0,4,13.44,0
106,0,2,-5.5599,1
106,0,4,13.44,1
106,0,1,-9.5599,0
106,0,1,-8.5599,0
106,0,4,-2.5599,0
106,0,4,18.44,0
106,0,2,-7.56,1
106,0,2,-4.5599,0
106,0,2,-9.5599,0
106,0,4,-0.56,1
106,0,1,-8.5599,0
106,0,2,8.44,0
106,0,4,8.44,0
106,0,4,18.44,0
106,0,3,18.44,0
106,0,4,-0.56,0
106,0,4,-5.5599,0
106,0,4,2.44,1
106,0,4,15.44,0
106,0,4,10.44,1
106,0,1,-11.559,0
106,0,2,-5.5599,0
106,0,1,-9.5599,0
106,0,3,-4.56,1
106,0,4,13.44,0
106,0,1,-11.559,0
106,0,4,16.44,0
106,0,4,8.44,0
106,0,1,-6.56,0
106,0,1,1.44,0
106,0,2,-7.56,0
106,0,3,-2.5599,0
106,0,2,-4.5599,0
106,0,1,-7.5599,0
106,0,4,8.44,0
106,1,1,-0.5599,1
106,0,3,0.44,1
106,0,4,11.44,0
106,0,4,-8.5599,0
106,1,2,-4.5599,1
106,0,3,5.44,0
106,0,3,-2.5599,0
106,1,3,11.44,0
106,0,1,-12.56,0
106,0,1,-6.56,0
106,0,3,0.44,0
106,0,1,-12.56,1
106,1,4,4.44,1
106,0,1,-10.559,0
106,0,4,-2.5599,1
106,0,2,6.44,0
107,0,2,-8.5599,0
107,0,1,-7.5599,1
107,0,4,-0.5599,0
107,0,4,3.44,1
107,0,2,-10.559,1
107,0,4,6.44,0
107,0,2,-7.56,0
107,0,4,3.44,1
107,0,4,-5.5599,0
107,0,4,11.44,0
107,0,1,-8.5599,1
107,0,1,-10.559,0
107,0,1,-10.559,0
107,0,2,-6.56,0
107,0,4,1.44,0
107,0,2,2.44,0
