"1980" "1976" "1972" "1968" "1964" "1960"
"Alabama" -0.0272016771567945 0.26839973442971 -1.0423334716236 0.289466192509109 -0.821242383582748 0.290832783967705
"Alaska" -0.721785158747474 -0.484881900865501 -0.518085571310092 -0.0614527801155384 0.659286088914817 -0.0376044307209676
"Arizona" -0.763439406743916 -0.347866024727697 -0.707280628874076 -0.448342133035755 -0.0200006667066695 -0.224538659661368
"Arkansas" -0.0128001747669617 0.619918445285303 -0.80714130775937 -0.0130720821425407 0.255785526065609 0.15309834137241
"California" -0.383429543078285 -0.0368041538464954 -0.280627266641796 -0.0670521388519542 0.370997551357118 -0.0108001049778368
"Colorado" -0.572327239863188 -0.238727346399616 -0.593204201036698 -0.201110834448089 0.472604410945793 -0.196227231141493
"Connecticut" -0.223323553114714 -0.104494979763219 -0.378038806662475 0.110987992095801 0.748262551287464 0.149477701821822
"Delaware" -0.0508109289401946 0.110111118416424 -0.419234257926432 -0.0807820776147735 0.451938370739168 0.0328029411039715
"Florida" -0.366032732344293 0.107302837764894 -0.950421812442794 -0.27054579120153 0.0460081139088437 -0.060418372460233
"Georgia" 0.308831426503537 0.705472603390302 -1.11360186268763 -0.129779041099543 -0.165577252199806 0.513386444627664
"Hawaii" 0.0432067203453671 0.0512111892107732 -0.509972381393407 0.435166060984693 1.31051905739719 0.00120000014399995
"Idaho" -0.969902181206347 -0.478103736968193 -0.903167550380886 -0.615273670506718 0.0368041538464949 -0.151489045994484
"Illinois" -0.174037962896552 -0.0400053346136992 -0.37638121355513 -0.0635482133289505 0.383429543078285 0.00360000388800763
"Indiana" -0.397138665331611 -0.154305442653536 -0.68475887493331 -0.280418916880386 0.250908089388684 -0.210372445097367
"Iowa" -0.284299553334719 -0.0208007499580035 -0.352814825769937 -0.261609832376246 0.489972695162252 -0.271658422983624
"Kansas" -0.552864839931441 -0.155512656141305 -0.829740229896798 -0.456950507871889 0.182504891655592 -0.435557649601109
"Kentucky" -0.030002250303799 0.146260177064843 -0.600190987760995 -0.152629766650449 0.585360837998775 -0.143847530253675
"Louisiana" -0.112518560980546 0.118538608038381 -0.834473518199292 0.182321554960621 -0.274103379596426 0.567127080304604
"Maine" -0.0764371945495661 -0.0172004240561513 -0.467956612138561 0.249249911748867 0.792649750340791 -0.28389142787782
"Maryland" 0.0648226891085865 0.121750170357766 -0.494644729962609 0.0397713215548115 0.639763511051099 0.144651699075794
"Massachusetts" -0.00360000388800758 0.327290631128071 0.180891649494277 0.649662070531081 1.17862230431686 0.420487924437861
"Michigan" -0.14223933163391 -0.109709909166379 -0.295736747412019 0.149665592775054 0.700957373460099 0.0404054962843517
"Minnesota" 0.0884576348323941 0.267178092254074 -0.112919832889457 0.263290618603168 0.571460025007493 0.0288019909037062
"Mississippi" -0.0272016771567945 0.0388048686888086 -1.38254857074939 0.53280452919169 -1.91339430187982 1.11629053129634
"Missouri" -0.143043407861039 0.073633251043454 -0.501875587995788 -0.0270896925292614 0.577534944175687 0.0104000937401873
"Montana" -0.561069647795824 -0.151489045994484 -0.42550585899161 -0.19585140728291 0.373895781045074 -0.0504106727388647
"Nebraska" -0.923231066087598 -0.431366798418677 -0.871222446472449 -0.631539371401666 0.104494979763219 -0.492520424724754
"Nevada" -0.843966744715338 -0.0908624617070255 -0.561501987803035 -0.189505191997987 0.346629485432149 0.0464083274681379
"New Hampshire" -0.711352753723373 -0.230616687430899 -0.607192028309458 -0.171250627335063 0.570593019324886 -0.13701394322562
"New Jersey" -0.298599020244423 -0.0440071007288324 -0.515521720768197 -0.0466233157201039 0.661512193986225 0.0160003413464411
"New Mexico" -0.401716509441418 -0.0496101724154627 -0.512959526949691 -0.266038963285309 0.386334523848031 0.0148002701582093
"New York" -0.0588169502475381 0.0888584213733194 -0.35116475316157 0.115020255026835 0.783806865135051 0.105698296441311
"North Carolina" -0.0440071007288324 0.222918554125725 -0.877481238210302 -0.302131963049781 0.24725196236626 0.0844501545666052
"North Dakota" -0.894412899762309 -0.120144311842063 -0.550708703484516 -0.380728863861077 0.32523693312271 -0.218869559879558
"Ohio" -0.230616687430899 0.00560001463473542 -0.448573427205786 -0.0522252590323369 0.529643670779047 -0.131388687712162
"Oklahoma" -0.548122986544702 -0.0248012711999445 -1.12221853504626 -0.399195495815127 0.23102203888629 -0.36479222670404
"Oregon" -0.222918554125725 -0.00360000388800758 -0.214417727946768 -0.128381166442232 0.571893606263596 -0.104896076881507
"Pennsylvania" -0.154707834637845 0.054413421723794 -0.412553492038708 0.0786431272316416 0.626520155966379 0.0464083274681379
"Rhode Island" 0.248064292113624 0.227779753438454 -0.12415925279566 0.699416793055754 1.44158514365557 0.559340798245803
"South Carolina" -0.0316026299352669 0.264328362808334 -0.92716612410042 -0.252439920136302 -0.359419896046692 0.0496101724154625
"South Dakota" -0.646848817623889 -0.0296021614787441 -0.173634933366524 -0.238266713705798 0.225348822353529 -0.33140008482382
"Tennessee" -0.00600001800009737 0.264328362808334 -0.822185197958003 -0.296539525801913 0.221298739884119 -0.145053800980428
"Texas" -0.288790493648601 0.064021858764931 -0.688800325180605 0.0296317959763837 0.551139830740643 0.0404054962843517
"Utah" -1.26391897650726 -0.618160203383248 -0.940992033505474 -0.597032819186562 0.195015714120068 -0.193400579834783
"Vermont" -0.144249608844547 -0.230616687430899 -0.541236447367524 -0.193750251158487 0.677139657962315 -0.349515153629784
"Virginia" -0.274510951339381 -0.027601752248223 -0.811833150814921 -0.289219353454943 0.147868843941817 -0.110111118416424
"Washington" -0.285932290727993 -0.0808440026089571 -0.387164813663538 0.0455116461002206 0.505708887306773 -0.0488096879836049
"West Virginia" 0.094871093478627 0.325647618201287 -0.558476679066644 0.195308750819817 0.751015815551031 0.109308708737233
"Wisconsin" -0.103692810687226 0.0344033929009403 -0.199862647258513 -0.078130829077717 0.498045897119592 -0.0744343477555923
"Wyoming" -0.806203951443106 -0.39838675903075 -0.817474576552526 -0.452241174717238 0.263921345962637 -0.201074744034286
