Nbr of Oscars,Oscar,Nbr of Baftas,Bafta,Multiple Oscars,Oscar Winner?,Film,Foreign Gross,Genre,Lead Studio,Story,Year,Audience  score %,Box Office Average per US Cinema (Opening Weekend),Budget (M),Margin,Profit (M),Domestic Gross (M),Number of Theatres in US Opening Weekend,Opening Weekend (M),Profitability,Rotten Tomatoes %,Worldwide Gross (M)
0,,0,,No,No,Beowulf,114.07,Action,Paramount,Journey and Return,2007,52,8726,150,0.24,46.3,82.2,3153,27.5,1.3084,0.71,196
0,,0,,No,No,Spider-Man 3,554.34,Action,Sony,Metamorphosis,2007,54,35540,258,0.71,632.9,336.5,4252,151.1,3.453,0.61,891
0,,0,,No,No,TMNT,40.86,Action,,Monster Force,2007,63,7799,35,0.63,60,54.2,3110,24.3,2.7146,0.33,95
0,,0,,No,No,Fantastic Four: Rise of the Silver Surfer,157.13,Action,Fox,Monster Force,2007,55,14663,130,0.55,159.1,131.9,3959,58,2.2234,0.35,289
0,,0,,No,No,Dragon Wars (aka D-War),63.27,Action,Mediaplex,Monster Force,2007,44,2213,75,-0.01,-0.8,11,2277,5,0.99,0.27,74
0,,0,,No,No,Transformers,389.03,Action,Paramount,Monster Force,2007,89,17577,150,0.79,558.3,319.3,4011,70.5,4.7218,0.57,708
0,,0,,No,No,Ghost Rider,112.94,Action,Sony,Monster Force,2007,56,12541,110,0.52,118.7,115.8,3619,45.3,2.0794,0.28,229
0,,0,,No,No,Shooter,48.69,Action,Paramount,Pursuit,2007,82,5175,61,0.36,34.7,47,2806,14.5,1.5688,0.47,96
0,,0,,No,No,Grindhouse,25.16,Action,The Weinstein Company,Pursuit,2007,86,4419,53,-0.06,-2.8,25,2624,11.6,0.9471,0.82,50
0,,0,,No,No,Smokin' Aces,21.32,Action,Universal,Pursuit,2007,64,6599,17,0.7,40.1,35.8,2218,14.6,3.3591,0.27,57
0,,0,,No,No,Shoot 'Em Up,14,Action,Warner Bros.,Pursuit,2007,66,2711,39,-0.45,-12.2,12.8,2108,5.7,0.6874,0.67,27
0,,0,,No,No,The Kingdom,39.07,Action,,Quest,2007,78,6135,80,0.08,6.6,47.5,2793,17.1,1.0826,0.52,87
0,,0,,No,No,Hitman,60.28,Action,Fox,Quest,2007,61,5362,17.5,0.82,82.5,39.7,2458,13.2,5.7122,0.15,100
0,,0,,No,No,Pathfinder: Legend of the Ghost Warrior,20.59,Action,,Rescue,2007,41,2907,26,0.16,4.8,10.2,1720,5,1.1855,0.11,31
0,,0,,No,No,Pirates of the Caribbean: At World's End,651.58,Action,Disney,Rescue,2007,74,26302,300,0.69,661,309.4,4362,114.7,3.2033,0.45,961
0,,0,,No,No,Live Free or Die Hard,249,Action,Fox,Rescue,2007,86,9791,110,0.71,273.5,134.5,3408,33.4,3.4866,0.79,384
0,,0,,No,No,The Golden Compass,302.13,Action,Warner Bros.,Rescue,2007,55,7308,180,0.52,192.2,70.1,3528,25.7,2.068,0.42,372
0,,0,,No,No,Rush Hour 3,117.9,Action,Warner Bros.,Rescue,2007,68,12996,140,0.46,118,140.1,3778,49.1,1.843,0.2,258
0,,0,,No,No,The Brave One,32.99,Action,,Rivalry,2007,65,4889,70,0,-0.2,36.8,2755,13.5,0.997,0.43,70
0,,0,,No,No,300,245.45,Action,Warner Bros.,Sacrifice,2007,90,22844,65,0.86,391.1,210.6,3103,70.9,7.0164,0.6,456
0,,0,,No,No,Stardust,96.92,Adventure,Paramount,Quest,2007,86,3610,70,0.48,65.6,38.6,2540,9.2,1.9366,0.76,136
0,,0,,No,No,Harry Potter and the Order of the Phoenix,647.88,Adventure,Warner Bros.,Quest,2007,82,17998,150,0.84,789.9,292,4285,77.1,6.2659,0.78,940
0,,0,,No,No,Alvin and the Chipmunks,143.14,Animation,Fox,Comedy,2007,73,12750,70,0.81,290.5,217.3,3475,44.3,5.1495,0.26,360
0,,0,,No,No,Surf's Up,90.18,Animation,Sony,Discovery,2007,64,5000,85,0.43,64,58.9,3528,17.6,1.7535,0.78,149
0,,0,,No,No,Bee Movie,160.49,Animation,Paramount,Journey and Return,2007,57,9679,150,0.48,137.1,126.6,3928,38,1.9142,0.52,287
0,,0,,No,No,Happily N'Ever After,22.5,Animation,Lionsgate,Maturation,2007,43,2775,47,-0.23,-8.9,15.6,2381,6.6,0.8103,0.04,38
0,,0,,No,No,Meet the Robinsons,71.51,Animation,Disney,Quest,2007,75,7361,100,0.41,69.3,97.8,3413,25.1,1.6933,0.66,169
0,,0,,No,No,Shrek the Third,476.24,Animation,Paramount,Quest,2007,57,29507,160,0.8,639,322.7,4122,121.6,4.9935,0.42,799
0,,0,,No,No,Charlie Wilson's War,51.81,Biography,Universal,Discovery,2007,73,3750,75,0.37,43.5,66.7,2575,9.6,1.5797,0.82,118
0,,0,,No,No,Epic Movie,47.13,Comedy,Independent,Comedy,2007,38,6644,20,0.77,66.9,39.7,2801,18.6,4.3433,0.02,87
0,,0,,No,No,Norbit,63.64,Comedy,Paramount,Comedy,2007,56,10904,60,0.62,99.3,95.7,3136,34.2,2.6552,0.09,159
0,,0,,No,No,Walk Hard: The Dewey Cox Story,2.26,Comedy,Sony,Comedy,2007,55,1575,35,-0.7,-14.4,18.3,2650,4.1,0.5879,0.75,21
0,,0,,No,No,Daddy Day Camp,4.96,Comedy,Sony,Comedy,2007,63,1459,6,0.67,12.2,13.2,2332,3.4,3.0329,0.01,18
0,,0,,No,No,Superbad,48.41,Comedy,Sony,Comedy,2007,87,11211,20,0.88,149.9,121.5,2948,33,8.4936,0.88,170
0,,0,,No,No,Evan Almighty,72.93,Comedy,Universal,Comedy,2007,56,8654,175,-0.01,-1.6,100.5,3604,31.2,0.9908,0.23,173
0,,0,,No,No,I Now Pronounce You Chuck and Larry,65.99,Comedy,Universal,Comedy,2007,73,9795,85,0.54,101.1,120.1,3495,34.2,2.1889,0.13,186
0,,0,,No,No,The Game Plan,57.23,Comedy,Disney,Discovery,2007,75,7396,22,0.85,125.9,90.6,3103,22.9,6.7213,0.27,148
0,,0,,No,No,The Nanny Diaries,21.07,Comedy,The Weinstein Company,Discovery,2007,52,2845,20,0.57,27,25.9,2629,7.5,2.35,0.33,47
0,,0,,No,No,No Reservations,49.49,Comedy,,Love,2007,64,4826,28,0.7,64.6,43.1,2425,11.7,3.3072,0.39,93
0,,0,,No,No,Enchanted,212.68,Comedy,Disney,Love,2007,80,9233,85,0.75,255.5,127.8,3730,34.4,4.0057,0.93,340
0,,0,,No,No,Good Luck Chuck,24.17,Comedy,Lionsgate,Love,2007,61,5226,25,0.58,34.2,35,2612,13.7,2.3677,0.03,59
0,,0,,No,No,The Heartbreak Kid,90.98,Comedy,Paramount,Love,2007,41,4342,60,0.53,67.8,36.8,3229,14,2.1294,0.3,128
0,,0,,No,No,Knocked Up,70.23,Comedy,Universal,Love,2007,83,10690,33,0.85,186,148.8,2871,30.7,6.6364,0.91,219
0,,0,,No,No,License to Wed,25.51,Comedy,Warner Bros.,Love,2007,55,4002,35,0.5,34.3,43.8,2604,10.4,1.9802,0.08,69
0,,0,,No,No,The Simpsons Movie,343.93,Comedy,Fox,Maturation,2007,78,18877,75,0.86,452.1,183.1,3922,74,7.0276,0.9,527
0,,0,,No,No,Vacancy,15.94,Comedy,Sony,Pursuit,2007,46,2980,19,0.46,16.3,19.4,2551,7.6,1.8579,0.55,35
0,,0,,No,No,Blades of Glory,27.11,Comedy,Paramount,Rivalry,2007,66,9790,61,0.58,84.7,118.6,3372,33,2.3887,0.69,146
0,,0,,No,No,Wild Hogs,85.35,Comedy,Disney,Transformation,2007,72,12077,90,0.65,163.6,168.3,3287,39.7,2.8181,0.14,254
0,,0,,No,No,In the Land of Women,6.51,Comedy,Warner Bros.,Transformation,2007,72,2186,10,0.43,7.6,11.1,2155,4.7,1.7562,0.43,18
0,,0,,No,No,Sicko,11.23,Documentary,The Weinstein Company,Quest,2007,87,5128,9,0.75,26.8,24.5,702,3.6,3.9742,0.93,36
0,,0,,No,No,The Bucket List,80.84,Drama,Warner Bros.,Discovery,2007,81,6661,45,0.74,129.3,93.5,2911,19.4,3.8736,0.41,174
0,,0,,No,No,The Darjeeling Limited,23.02,Drama,Fox,Journey and Return,2007,79,2523,17.5,0.5,17.4,11.9,698,1.8,1.9953,0.67,35
0,,0,,No,No,The Kite Runner,57.39,Drama,Paramount,Maturation,2007,85,2243,20,0.73,53.2,15.8,715,1.6,3.6597,0.66,73
0,,0,,No,No,Lions for Lambs,48.21,Drama,Independent,Quest,2007,48,3025,35,0.45,28.2,15,2215,6.7,1.806,0.27,63
